trial,run_seed,problem_size,algorithm,cost_km,runtime_s
8,9,50,Ant Colony Optimization,3196.13,6.66
8,9,50,Lib Optimization,13005.56,0.9
8,9,50,LKH Algorithm,2714.36,0.38
9,0,50,Nearest Neighbor,5015.01,0.0
9,0,50,Ant Colony Optimization,3106.47,6.63
9,0,50,Lib Optimization,11375.05,0.6
9,0,50,LKH Algorithm,2673.07,0.33
9,1,50,Nearest Neighbor,5015.01,0.0
9,1,50,Ant Colony Optimization,3284.16,6.62
9,1,50,Lib Optimization,11312.2,0.82
9,1,50,LKH Algorithm,2673.07,0.33
9,2,50,Nearest Neighbor,5015.01,0.0
9,2,50,Ant Colony Optimization,3215.73,6.65
9,2,50,Lib Optimization,16264.77,0.49
9,2,50,LKH Algorithm,2673.07,0.33
9,3,50,Nearest Neighbor,5015.01,0.0
9,3,50,Ant Colony Optimization,3243.88,6.67
9,3,50,Lib Optimization,10853.78,0.66
9,3,50,LKH Algorithm,2673.07,0.33
9,4,50,Nearest Neighbor,5015.01,0.0
9,4,50,Ant Colony Optimization,3174.94,6.63
9,4,50,Lib Optimization,10446.84,0.83
9,4,50,LKH Algorithm,2673.07,0.33
9,5,50,Nearest Neighbor,5015.01,0.0
9,5,50,Ant Colony Optimization,3251.55,6.65
9,5,50,Lib Optimization,12448.38,0.7
9,5,50,LKH Algorithm,2673.07,0.33
9,6,50,Nearest Neighbor,5015.01,0.0
9,6,50,Ant Colony Optimization,3478.19,6.65
9,6,50,Lib Optimization,9782.63,0.98
9,6,50,LKH Algorithm,2673.07,0.33
9,7,50,Nearest Neighbor,5015.01,0.0
9,7,50,Ant Colony Optimization,3320.56,6.65
9,7,50,Lib Optimization,12012.44,0.52
9,7,50,LKH Algorithm,2673.07,0.33
9,8,50,Nearest Neighbor,5015.01,0.0
9,8,50,Ant Colony Optimization,3408.99,6.64
9,8,50,Lib Optimization,10874.37,0.69
9,8,50,LKH Algorithm,2673.07,0.33
9,9,50,Nearest Neighbor,5015.01,0.0
9,9,50,Ant Colony Optimization,3201.18,6.62
9,9,50,Lib Optimization,12833.2,0.95
9,9,50,LKH Algorithm,2673.07,0.33
10,0,50,Nearest Neighbor,6800.51,0.0
10,0,50,Ant Colony Optimization,3017.08,6.62
10,0,50,Lib Optimization,10038.44,0.78
10,0,50,LKH Algorithm,2283.91,0.36
10,1,50,Nearest Neighbor,6800.51,0.0
10,1,50,Ant Colony Optimization,3116.5,6.63
10,1,50,Lib Optimization,17893.88,0.11
10,1,50,LKH Algorithm,2283.91,0.36
10,2,50,Nearest Neighbor,6800.51,0.0
10,2,50,Ant Colony Optimization,2943.15,6.66
10,2,50,Lib Optimization,14302.35,0.62
10,2,50,LKH Algorithm,2283.91,0.36
10,3,50,Nearest Neighbor,6800.51,0.0
10,3,50,Ant Colony Optimization,2923.38,6.77
10,3,50,Lib Optimization,8917.46,0.83
10,3,50,LKH Algorithm,2283.91,0.36
10,4,50,Nearest Neighbor,6800.51,0.0
10,4,50,Ant Colony Optimization,2975.42,6.86
10,4,50,Lib Optimization,12122.68,0.82
10,4,50,LKH Algorithm,2283.91,0.36
10,5,50,Nearest Neighbor,6800.51,0.0
10,5,50,Ant Colony Optimization,3012.83,6.85
10,5,50,Lib Optimization,12277.4,0.44
